cluster_name,,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,B_6,B_7,C_1,C_10,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,D_1,D_2,D_3,D_4,D_5,D_6
Camel_A,A_1,1,0.9886095,0.99510455,0.9860373,0.97814447,0.8428522,0.828615,0.8268529,0.7433837,0.772082,0.78228895,0.73533826,0.7660367,0.762635,0.81198686,0.7680141,0.8368522,0.7780284,0.896114,0.82859373,0.83079356,0.743522,0.7527498,0.7726544,0.7717055,0.77466834,0.89268744,0.7946874
Camel_A,A_2,0.9886095,1,0.98514587,0.97780573,0.9531265,0.8241075,0.8126936,0.8332936,0.836313,0.8492893,0.90041023,0.9071053,0.7864812,0.83302176,0.88287413,0.84279466,0.9058271,0.84998435,0.9311992,0.9043331,0.89914924,0.79907715,0.7801091,0.8182454,0.82897294,0.8456209,0.7347188,0.8685622
Camel_A,A_3,0.99510455,0.98514587,1,0.99101937,0.98338556,0.8288973,0.8290445,0.8825835,0.90003407,0.8579973,0.86119825,0.899848,0.77817833,0.7710598,0.82978106,0.7671551,0.8549323,0.77889174,0.9323,0.84844685,0.8336099,0.868844,0.830452,0.751277,0.7619182,0.777646,0.7250716,0.8124103
Camel_A,A_4,0.9860373,0.97780573,0.99101937,1,0.98378927,0.80160865,0.843132,0.8211676,0.8330976,0.808635,0.8184753,0.7973497,0.709978,0.730846,0.604649,0.697343,0.808253,0.7894183,0.88827,0.8881553,0.86547086,0.84431925,0.7646958,0.76372087,0.77829707,0.79122674,0.726067,0.82154644
Camel_A,A_5,0.97814447,0.9531265,0.98338556,0.98378927,0.9999998,0.7294423,0.72382516,0.77624583,0.81553626,0.7484051,0.7516316,0.80724525,0.708263,0.602159,0.8441951,0.8453076,0.8028416,0.76047863,0.86707095,0.864635,0.87397037,0.8141966,0.7437107,0.742752,0.75373113,0.769948,0.7185815,0.8032272
Camel_B,B_1,0.782216,0.8505567,0.8074888,0.8189695,0.80988735,0.9999999,0.9953746,0.9566711,0.94794655,0.9599986,0.9403236,0.9574112,0.8085103,0.7265199,0.7956958,0.801904,0.81359703,0.74997037,0.7376733,0.65047863,0.84494046,0.89331466,0.7497525,0.74306506,0.7581389,0.7211972,0.81065276,0.80346346
Camel_B,B_2,0.8795352,0.88686615,0.8618566,0.8763232,0.8632257,0.9953746,1.0000002,0.9626087,0.9518397,0.9641959,0.945407,0.9408443,0.7036383,0.8840877,0.65438613,0.782825,0.8172311,0.8329871,0.88827,0.86707095,0.7376733,0.8903114,0.72999203,0.72951794,0.7423528,0.740635,0.81503966,0.7928158
Camel_B,B_3,0.79857594,0.7982588,0.79857594,0.7982588,0.8129348,0.9566711,0.9626087,0.99999994,0.9901573,0.9849873,0.97696066,0.95891523,0.8303846,0.88250207,0.7046762,0.727638,0.7933251,0.80668224,0.8881553,0.864635,0.65047863,0.92093986,0.7517758,0.7516209,0.7639115,0.74997037,0.72734057,0.81623197
Camel_B,B_4,0.891938,0.86196053,0.8242866,0.813525,0.85555553,0.94794655,0.9518397,0.9901573,1,0.9793581,0.98033154,0.9693478,0.8140877,0.65438613,0.782825,0.8172311,0.8033223,0.81925834,0.86547086,0.87397037,0.84494046,0.9320929,0.7169086,0.72081375,0.73212075,0.7376733,0.8127618,0.7860457
Camel_B,B_5,0.73212075,0.7476078,0.743976,0.9129348,0.88524246,0.9599986,0.9641959,0.9849873,0.9793581,0.9999997,0.98532254,0.9404302,0.7572691,0.7046762,0.727638,0.7933251,0.85245896,0.7211972,0.8555119,0.8616733,0.8215447,0.82212045,0.7425968,0.743522,0.7527498,0.65047863,0.72997617,0.8099935
