cluster_name,,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,E_1,E_2,E_3,E_4,E_5,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16
Giraffe_A,A_1,1.0000004,0.9012884,0.9174042,0.92792994,0.9075763,0.89710474,0.91514826,0.911436,0.902508,0.9080645,0.91953635,0.97314054,0.93185925,0.9235662,0.93003774,0.9214106,0.9184805,0.93760574,0.95595634,0.93019223,0.78376224,0.81194556,0.81880844,0.7715015,0.9110505,0.7715015,0.7313863,0.86774963,0.75002164,0.80707777,0.78851306,0.7856487,0.627648,0.7062799,0.74383014,0.7641553,0.740635,0.87397037,0.84494046,0.8137342,0.8126677,0.79466987,0.8074888,0.86294454,0.7636644,0.87518823,0.8594783,0.80952406,0.78787804,0.79274833,0.7800198,0.782216,0.8795352,0.79857594,0.891938,0.90454817,0.89228606,0.84920216,0.88845015,0.7660367,0.762635,0.81198686,0.7680141,0.8368522,0.7780284,0.896114,0.82859373,0.83079356,0.77269435,0.7726544,0.7717055,0.77466834,0.89268744,0.7946874
Giraffe_A,A_2,0.9012884,1,0.9637697,0.9618676,0.9489523,0.9517269,0.94754034,0.9651308,0.92651445,0.9515698,0.9537481,0.923309,0.9385885,0.95849764,0.9518281,0.96595657,0.96333563,0.94644403,0.9391372,0.9578829,0.81753245,0.82442665,0.8269273,0.7691185,0.8264192,0.7691185,0.7289388,0.87078235,0.7715015,0.7902156,0.7583817,0.8053881,0.7062799,0.7051277,0.7473639,0.74147086,0.74997037,0.8616733,0.8215447,0.82825625,0.8223542,0.8032444,0.8189695,0.86841416,0.82913107,0.8785305,0.88991976,0.86689425,0.8493228,0.8605473,0.8525596,0.8505567,0.88686615,0.7982588,0.86196053,0.8862268,0.80017686,0.8244703,0.7875883,0.8383457,0.8286854,0.88287413,0.84279466,0.9058271,0.84998435,0.73606175,0.9043331,0.89914924,0.8231516,0.8182454,0.82897294,0.8456209,0.7905823,0.8685622
Giraffe_A,A_3,0.9174042,0.9637697,1.0000002,0.9888871,0.97836024,0.96493554,0.98244536,0.9899876,0.9747741,0.97877663,0.9879205,0.9430081,0.9677979,0.97757506,0.97648495,0.9820279,0.9853679,0.98069847,0.9615176,0.9864233,0.81581736,0.80941105,0.8123921,0.7339754,0.829457,0.7339754,0.8585721,0.8760141,0.7691185,0.7968731,0.75002164,0.7821877,0.6828552,0.6919984,0.7285748,0.7315119,0.7376733,0.8681018,0.83968596,0.86238456,0.858232,0.84401494,0.80988735,0.72561114,0.7629597,0.7751158,0.85344267,0.8235328,0.8419198,0.8328054,0.8151933,0.8074888,0.8618566,0.79857594,0.87242866,0.90110433,0.8017812,0.8240007,0.7797001,0.77817833,0.7710598,0.82978106,0.7671551,0.8549323,0.77889174,0.7711269,0.84844685,0.8336099,0.7495096,0.751277,0.7619182,0.777646,0.7763264,0.8124103
Giraffe_A,A_4,0.92792994,0.9618676,0.9888871,0.9999999,0.9678146,0.96761024,0.9754778,0.98160607,0.956569,0.9751668,0.9767961,0.954427,0.9716629,0.96486634,0.9637642,0.9711572,0.972648,0.9676927,0.9606901,0.97532856,0.8155066,0.7811806,0.7901561,0.9171845,0.84727305,0.7209394,0.86737484,0.8877804,0.7339754,0.7799703,0.7715015,0.7878965,0.6855375,0.6084895,0.8171396,0.8110779,0.8213941,0.828827,0.65047863,0.85634905,0.8546443,0.839411,0.81141883,0.89968014,0.77564585,0.7924465,0.8666829,0.8357426,0.8466132,0.8407648,0.82421637,0.8189695,0.8763232,0.7982588,0.88813525,0.9129348,0.7910107,0.84029615,0.79907715,0.78708935,0.78045434,0.83770895,0.7802642,0.86352146,0.7959631,0.7815305,0.86312926,0.8451295,0.7646958,0.76372087,0.77829707,0.79122674,0.7205747,0.82154644
Giraffe_A,A_5,0.9075763,0.9489523,0.97836024,0.9678146,1,0.9886095,0.99510455,0.9860373,0.97814447,0.9753301,0.9837092,0.9381939,0.9673227,0.97468644,0.97361207,0.97394985,0.97711086,0.97518086,0.9478085,0.97934556,0.7998561,0.79806423,0.8070109,0.8920917,0.804926,0.80707777,0.8530781,0.8601009,0.7209394,0.79963946,0.7691185,0.7062799,0.7051277,0.7237159,0.770002,0.741144,0.754002,0.657215,0.740635,0.8633352,0.8619983,0.8473388,0.7998561,0.7751158,0.7556224,0.7869083,0.8484651,0.8238403,0.8530965,0.83625245,0.81801593,0.80988735,0.8632257,0.9129348,0.85555553,0.88524246,0.7751158,0.7981506,0.7801091,0.7696575,0.7638509,0.81973296,0.7608458,0.84504026,0.76974154,0.73606175,0.8363236,0.82833755,0.7437107,0.742752,0.75373113,0.769948,0.7994511,0.8032272
Giraffe_A,A_6,0.89710474,0.9517269,0.96493554,0.96761024,0.9886095,1,0.98514587,0.97780573,0.9531265,0.96658313,0.96634805,0.9309292,0.95714265,0.95823455,0.952318,0.95965445,0.9623687,0.95430297,0.9309615,0.9603136,0.8178693,0.7945131,0.8019303,0.8829709,0.80642307,0.7902156,0.8682889,0.8667572,0.75002164,0.7690284,0.7339754,0.627149,0.682044,0.782825,0.74383014,0.7473639,0.740635,0.858827,0.741144,0.8544349,0.85060906,0.8355586,0.8178693,0.7924465,0.76101404,0.7354065,0.84881437,0.82558286,0.84851485,0.83457595,0.8174714,0.81141883,0.86066335,0.88524246,0.8528155,0.87641966,0.7924465,0.79537237,0.7987796,0.7678666,0.76234937,0.82008266,0.76678604,0.847431,0.7797027,0.7711269,0.8470583,0.8368558,0.7497525,0.74306506,0.7581389,0.77246046,0.7758158,0.80346346
Giraffe_A,A_7,0.91514826,0.94754034,0.98244536,0.9754778,0.99510455,0.98514587,1,0.99101937,0.98338556,0.98044515,0.98799175,0.95051795,0.97678626,0.972554,0.97745126,0.97476137,0.9774136,0.97901726,0.95475435,0.98422563,0.7845887,0.84424293,0.7715015,0.8047779,0.8137419,0.7968731,0.87273765,0.86134756,0.7715015,0.7917222,0.7209394,0.8294729,0.78144146,0.627648,0.8677095,0.754002,0.7054002,0.8707095,0.754002,0.91323704,0.7998561,0.7924465,0.7912456,0.7869083,0.7427755,0.7267633,0.84155613,0.81650716,0.8486411,0.829715,0.80851454,0.7998561,0.8585721,0.87641966,0.79857594,0.8916887,0.7801091,0.806351,0.8383205,0.75925887,0.75294566,0.80901355,0.7481574,0.8360188,0.7576471,0.7815305,0.8283656,0.81616795,0.72999203,0.72951794,0.7423528,0.7573017,0.79462886,0.7928158
Giraffe_A,A_8,0.911436,0.9651308,0.9899876,0.98160607,0.9860373,0.97780573,0.99101937,1,0.98378927,0.9873713,0.99273986,0.9465877,0.9724697,0.97669023,0.9793377,0.98278487,0.98363525,0.97901905,0.95738447,0.98561203,0.8255308,0.7480864,0.7691185,0.8066234,0.81965196,0.8262053,0.8905546,0.8737482,0.7691185,0.88376224,0.7902156,0.82108403,0.82808883,0.77923037,0.8385748,0.8415119,0.8476733,0.65047863,0.61629555,0.87641966,0.79857594,0.7869083,0.80860204,0.7354065,0.7659777,0.7521475,0.85600275,0.8319628,0.8517044,0.8440168,0.8251127,0.8178693,0.86737484,0.8916887,0.7982588,0.89464104,0.7987796,0.81456226,0.72773856,0.78255254,0.77479744,0.83174884,0.7717817,0.85784924,0.7817661,0.75565064,0.84901404,0.83601594,0.7517758,0.7516209,0.7639115,0.7801894,0.78927654,0.81623197
Giraffe_A,A_9,0.902508,0.92651445,0.9747741,0.956569,0.97814447,0.9531265,0.98338556,0.98378927,0.9999998,0.9798263,0.99048954,0.9359946,0.9633321,0.9634246,0.97712815,0.9675626,0.9672624,0.9772314,0.95142865,0.9815842,0.8180844,0.8269338,0.7339754,0.8970947,0.7953502,0.8021593,0.85829884,0.8323893,0.7339754,0.8753245,0.7968731,0.8503646,0.8147465,0.8280845,0.76438613,0.7894183,0.76047863,0.84251835,0.76053023,0.8916887,0.7982588,0.7354065,0.83656194,0.7267633,0.7342067,0.75071394,0.8361696,0.80333436,0.831428,0.82022995,0.7998037,0.7912456,0.8530781,0.89464104,0.79857594,0.8919292,0.8383205,0.8013382,0.8731666,0.75521696,0.7496517,0.8027124,0.7387255,0.8273959,0.746178,0.7429063,0.80967486,0.79976606,0.7169086,0.72081375,0.73212075,0.7476078,0.743976,0.7860457
Giraffe_A,A_10,0.9080645,0.9515698,0.97877663,0.9751668,0.9753301,0.96658313,0.98044515,0.9873713,0.9798263,0.9999998,0.9863447,0.9421747,0.9731968,0.9643852,0.9652596,0.97101223,0.97533983,0.9712652,0.9533572,0.974375,0.7684454,0.8416121,0.82943674,0.8969286,0.81471616,0.82128656,0.87690973,0.8585252,0.7209394,0.87581736,0.7799703,0.7315119,0.6794183,0.7170002,0.7341144,0.8286762,0.682044,0.78144146,0.7945596,0.89464104,0.79857594,0.7267633,0.74818056,0.7521475,0.76129085,0.71202856,0.8589461,0.822306,0.8389049,0.834205,0.81498945,0.80860204,0.8682889,0.8919292,0.7982588,0.8929918,0.72773856,0.8103391,0.897678,0.77365655,0.7666936,0.82777774,0.7657262,0.8550464,0.77654034,0.783844,0.848613,0.82991123,0.7425968,0.743522,0.7527498,0.7696302,0.7364453,0.8099935
Giraffe_A,A_11,0.91953635,0.9537481,0.9879205,0.9767961,0.9837092,0.96634805,0.98799175,0.99273986,0.99048954,0.9863447,0.99999976,0.9508863,0.97979456,0.9794431,0.98427176,0.9826993,0.9843853,0.9857823,0.9680698,0.99019384,0.799991,0.8506855,0.8459505,0.8115264,0.8203137,0.82637984,0.8846487,0.8594545,0.80707777,0.86855066,0.79963946,0.7376733,0.65047863,0.84938613,0.8535337,0.8410002,0.782825,0.627648,0.592716,0.8919292,0.7982588,0.7521475,0.84452274,0.75071394,0.7690033,0.6980302,0.86214745,0.82863945,0.84523284,0.84116554,0.8243055,0.81738526,0.87273765,0.8795352,0.87226576,0.9041447,0.8731666,0.81826603,0.89852995,0.7832317,0.7788032,0.83078736,0.7714681,0.8542373,0.78098094,0.77688265,0.84092724,0.83162177,0.75221944,0.75301397,0.7664596,0.7809167,0.7559962,0.8151408
