cluster_name,,A_1 ,A_2 ,A_3 ,B_1 ,B_2 ,B_3 ,C_1 ,C_2 ,C_3,D_1 ,D_2 ,D_3 ,E_1 ,E_2 ,E_3 ,E_4 
Hyena_A,A_1 ,1,0.9672724,0.9731772,0.607935,0.662448,0.617036,0.74366,0.762365,0.702149,0.694649,0.67343,0.635102,0.718253,0.627149,0.682044,0.782825
Hyena_A,A_2 ,0.986724,0.9999999,0.9591156,0.8172311,0.7933251,0.8033223,0.95244896,0.9503546,0.802044,0.8441951,0.84531076,0.592375,0.80248416,0.8294729,0.78144146,0.627648
Hyena_A,A_3 ,0.973172,0.9591156,0.97999976,0.8329871,0.80668224,0.81925834,0.89027774,0.9147365,0.635102,0.7956958,0.801904,0.504659,0.81359703,0.83285315,0.7945596,0.592716
Hyena_B,B_1 ,0.782825,0.8172311,0.8329871,0.9999999,0.9898213,0.97494376,0.8036283,0.828296,0.782825,0.7009657,0.70809294,0.597353,0.80002124,0.8014992,0.682835,0.6837914
Hyena_B,B_2 ,0.727638,0.7933251,0.80668224,0.9798213,1,0.96335946,0.7633195,0.78795236,0.727638,0.6596258,0.66541303,0.702054,0.794585,0.7856487,0.627648,0.7062799
Hyena_B,B_3 ,0.692706,0.8033223,0.81925834,0.97494376,0.96335946,1,0.7892923,0.8134831,0.692706,0.6861893,0.69126476,0.708263,0.8085103,0.8035538,0.592716,0.6828552
Hyena_C,C_1 ,0.704366,0.85245896,0.79028774,0.7036383,0.6633295,0.6893023,0.9999999,0.9824196,0.9722989,0.87324537,0.8715951,0.602159,0.7265199,0.77923037,0.6837914,0.7068435
Hyena_C,C_2 ,0.635102,0.82108403,0.82808883,0.8303846,0.8211972,0.8204828,0.9724196,0.9999999,0.9622989,0.7319984,0.7384895,0.702054,0.794585,0.7856487,0.627648,0.7062799
Hyena_C,C_3,0.692365,0.8503646,0.8147465,0.728306,0.68796236,0.7134931,0.9817054,0.9637684,0.9522989,0.80750455,0.8035261,0.704659,0.75594235,0.8053881,0.7062799,0.7051277
Hyena_D,D_1 ,0.604649,0.8441951,0.7956958,0.7009657,0.6596258,0.6861893,0.7323537,0.6749455,0.782825,1,0.9999999,0.9831772,0.7237159,0.7821877,0.6828552,0.6919984
Hyena_D,D_2 ,0.697343,0.84531076,0.801904,0.70809294,0.6657303,0.69126476,0.7715851,0.735161,0.727638,0.986724,0.9999999,0.9891156,0.72996415,0.7878965,0.6855375,0.6084895
Hyena_D,D_3 ,0.802044,0.78144146,0.7945596,0.7091978,0.7111715,0.8121874,0.7837814,0.7262699,0.692706,0.973172,0.9891156,0.99999976,0.8053881,0.7062799,0.7051277,0.7237159
Hyena_E,E_1 ,0.808253,0.80248416,0.81359703,0.70002124,0.7945851,0.8085103,0.7265099,0.8593235,0.704366,0.7237159,0.72996415,0.782825,1,0.9808115,0.9794266,0.9722989
Hyena_E,E_2 ,0.702149,0.8294729,0.83285315,0.7014992,0.7856487,0.8035538,0.7792037,0.8053781,0.635102,0.7821877,0.7878965,0.727638,0.98088115,0.9999998,0.9824196,0.9642989
Hyena_E,E_3 ,0.802044,0.78144146,0.7945596,0.7091978,0.7111715,0.8121874,0.7837814,0.8062699,0.692365,0.6828552,0.6855375,0.692706,0.97694266,0.9724196,0.9999999,0.9622989
Hyena_E,E_4 ,0.635102,0.72108403,0.72808883,0.7303846,0.7211972,0.8204828,0.8368335,0.8651177,0.604649,0.7319984,0.7384895,0.604649,0.9722989,0.9817054,0.9737684,0.9822989
