cluster_name,,A_1,A_2,A_3,A_4,A_5,A_6,B_1,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_2,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_3,B_30,B_4,B_5,B_6,B_7,B_8,B_9,C_1,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_2,C_20,C_21,C_3,C_4,C_5,C_6,C_7,C_8,C_9,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,E_1,E_2,E_3,E_4,E_5,E_6,E_7
Lion_A,A_1,0.9999999,0.993651,0.9927285,0.9510293,0.9414981,0.9842968,0.88376224,0.81194556,0.81880844,0.7715015,0.9110505,0.7715015,0.7313863,0.86774963,0.75002164,0.80707777,0.78851306,0.7856487,0.627648,0.7062799,0.74383014,0.7641553,0.740635,0.87397037,0.84494046,0.8137342,0.8126677,0.79466987,0.8074888,0.86294454,0.7636644,0.87518823,0.8594783,0.80952406,0.78787804,0.79274833,0.7800198,0.782216,0.8795352,0.79857594,0.891938,0.90454817,0.89228606,0.84920216,0.88845015,0.7660367,0.762635,0.81198686,0.7680141,0.8368522,0.7780284,0.896114,0.82859373,0.83079356,0.77269435,0.7009657,0.61629555,0.76053023,0.7856487,0.7111715,0.7211972,0.74997037,0.740635,0.7046762,0.7170002,0.7036383,0.8329871,0.80668224,0.81925834,0.7211972,0.740635
Lion_A,A_2,0.993651,0.9999999,0.9979789,0.9678601,0.9555118,0.9836327,0.8753245,0.82442665,0.8269273,0.7691185,0.8264192,0.7691185,0.7289388,0.90078235,0.7715015,0.7902156,0.7583817,0.8053881,0.7062799,0.7051277,0.7473639,0.74147086,0.74997037,0.8616733,0.8215447,0.82825625,0.8223542,0.8032444,0.8189695,0.86841416,0.82913107,0.8785305,0.88991976,0.86689425,0.8493228,0.8605473,0.8525596,0.8505567,0.88686615,0.7982588,0.86196053,0.8862268,0.80017686,0.8244703,0.7875883,0.8383457,0.8286854,0.88287413,0.84279466,0.9058271,0.84998435,0.73606175,0.9043331,0.89914924,0.8231516,0.86511366,0.62577215,0.95200384,0.8035538,0.8121874,0.8204828,0.7376733,0.74997037,0.72094046,0.7341144,0.8303846,0.88827,0.8881553,0.86547086,0.8555119,0.81908221
Lion_A,A_3,0.9927285,0.9979789,0.99999994,0.9663455,0.9494246,0.9831983,0.87581736,0.80941105,0.8123921,0.7339754,0.829457,0.7339754,0.8585721,0.8760141,0.7691185,0.7968731,0.75002164,0.7821877,0.6828552,0.6919984,0.7285748,0.7315119,0.7376733,0.8681018,0.83968596,0.86238456,0.858232,0.84401494,0.80988735,0.92561114,0.7629597,0.7751158,0.85344267,0.8235328,0.8419198,0.8328054,0.8151933,0.8074888,0.8618566,0.79857594,0.87242866,0.90110433,0.8017812,0.8240007,0.7797001,0.77817833,0.7710598,0.82978106,0.7671551,0.8549323,0.77889174,0.7711269,0.84844685,0.8336099,0.7495096,0.6975447,0.8613941,0.8598077,0.88827,0.8881553,0.86547086,0.65047863,0.7376733,0.6975447,0.7054002,0.728306,0.86707095,0.864635,0.87397037,0.8616733,0.82681018
Lion_A,A_4,0.9510293,0.9678601,0.9663455,1.0000002,0.98250884,0.9640771,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.85634905,0.8546443,0.839411,0.81141883,0.89968014,0.77564585,0.7924465,0.8666829,0.8357426,0.8466132,0.8407648,0.82421637,0.8189695,0.8763232,0.7982588,0.88813525,0.9129348,0.7910107,0.84029615,0.79907715,0.78708935,0.78045434,0.83770895,0.7802642,0.86352146,0.7959631,0.7815305,0.86312926,0.8451295,0.7646958,0.704366,0.8616733,0.8681018,0.83103786,0.8526307,0.754002,0.84494046,0.65047863,0.61629555,0.62577215,0.7009657,0.7376733,0.65047863,0.84494046,0.8215447,0.7875883
Lion_A,A_5,0.9414981,0.9555118,0.9494246,0.98250884,0.99999994,0.95476055,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8633352,0.8619983,0.8473388,0.7998561,0.7751158,0.7556224,0.7869083,0.8484651,0.8238403,0.8530965,0.83625245,0.81801593,0.80988735,0.8632257,0.9129348,0.85555553,0.88524246,0.7751158,0.7981506,0.7801091,0.7696575,0.7638509,0.81973296,0.7608458,0.84504026,0.76974154,0.73606175,0.8363236,0.82833755,0.7437107,0.85245896,0.770002,0.74383014,0.7170002,0.8611147,0.7975447,0.8385748,0.8415119,0.8476733,0.65047863,0.61629555,0.72999203,0.7517758,0.7169086,0.7425968,0.7797001
Lion_A,A_6,0.9842968,0.9836327,0.9831983,0.9640771,0.95476055,0.99999994,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.8544349,0.85060906,0.8355586,0.8178693,0.7924465,0.76101404,0.7354065,0.84881437,0.82558286,0.84851485,0.83457595,0.8174714,0.81141883,0.86066335,0.88524246,0.8528155,0.87641966,0.7924465,0.79537237,0.7987796,0.7678666,0.76234937,0.82008266,0.76678604,0.847431,0.7797027,0.7711269,0.8470583,0.8368558,0.7497525,0.79028774,0.741144,0.7473639,0.7341144,0.8571396,0.864635,0.88827,0.86707095,0.7376733,0.657215,0.858827,0.72951794,0.7516209,0.72081375,0.743522,0.79907715
Lion_B,B_1,0.8681018,0.828827,0.657215,0.858827,0.8707095,0.8053881,1.0000002,0.9852996,0.98735297,0.9831175,0.9900707,0.9941573,0.9977615,0.99377203,0.9894254,0.9747698,0.9337014,0.9920447,0.9576271,0.97485715,0.9643983,0.9652586,0.9642197,0.9354248,0.9589938,0.9678237,0.9825194,0.977707,0.9662695,0.96748763,0.9654128,0.94445944,0.92511797,0.97085834,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.9529057,0.95510113,0.9456107,0.96018624,0.94132626,0.92695403,0.95706093,0.9564363,0.94141376,0.958966,0.94524,0.9299998,0.9321344,0.8555119,0.81908221,0.740635,0.7054002,0.8710779,0.87397037,0.8881553,0.864635,0.65047863,0.8850004,0.682044,0.7423528,0.7639115,0.73212075,0.7527498,0.7801091
Lion_B,B_10,0.81359703,0.80002124,0.8850004,0.682044,0.87974285,0.7821877,0.9852996,0.99999994,0.9917053,0.9857735,0.98546827,0.98083544,0.9845311,0.9805902,0.96625996,0.9570521,0.9251513,0.97266424,0.9453627,0.96174943,0.9403842,0.938934,0.9461549,0.91570354,0.9345543,0.9430259,0.96686697,0.9716627,0.94093895,0.94811213,0.93925416,0.93815815,0.9474305,0.95819676,0.9129642,0.8215447,0.754002,0.7797001,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.8613941,0.8616733,0.86547086,0.87397037,0.84494046,0.797037,0.818827,0.740635,0.74997037,0.7376733,0.65047863,0.8415119
Lion_B,B_11,0.83285315,0.8014992,0.741144,0.782825,0.85221736,0.7878965,0.98735297,0.9917053,0.9999999,0.9934605,0.9811119,0.9900345,0.9855636,0.98695534,0.9775133,0.9601657,0.9441676,0.98344374,0.96839124,0.97699505,0.95770586,0.95442265,0.9538776,0.94292545,0.9543778,0.95367163,0.971493,0.9697785,0.95685184,0.9665519,0.95585644,0.9479932,0.9614849,0.9612204,0.8326527,0.8410002,0.8566977,0.79907715,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.8598077,0.8681018,0.8555119,0.8616733,0.8215447,0.754002,0.7975447,0.81503966,0.72734057,0.8127618,0.72997617,0.7383205
Lion_B,B_12,0.8410002,0.828827,0.80002124,0.8294729,0.8053881,0.7821877,0.9831175,0.9857735,0.9934605,0.9999998,0.978961,0.98519456,0.9822248,0.9862536,0.97489107,0.9617877,0.93883896,0.98093265,0.9687111,0.9731754,0.9526862,0.9470906,0.95162195,0.9299537,0.9467066,0.94808894,0.97183144,0.96900463,0.94965,0.9589776,0.9476613,0.9389669,0.9683596,0.95009017,0.8329488,0.8581144,0.87881027,0.7801091,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.627648,0.592716,0.81908221,0.82681018,0.83968596,0.7975447,0.8215447,0.7928158,0.81623197,0.7860457,0.8099935,0.72773856
Lion_B,B_13,0.747037,0.657215,0.8850004,0.78144146,0.84017763,0.85550575,0.9900707,0.98546827,0.9811119,0.978961,1.0000002,0.98618686,0.98652184,0.9826574,0.97513354,0.9708139,0.9206399,0.9772883,0.93845254,0.9646691,0.94691414,0.94733363,0.9563559,0.9116999,0.94008356,0.9547692,0.97835964,0.97328115,0.94823813,0.9513466,0.9482778,0.9365014,0.9186809,0.9639444,0.7687714,0.8294002,0.84787355,0.7987796,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.7062799,0.6828552,0.754002,0.657215,0.740635,0.7089294,0.6651303,0.80163145,0.83683383,0.80354154,0.7701348,0.7521517
