cluster_name,,A_1 ,A_2 ,A_3 ,B_1 ,B_2 ,B_3 ,B_4 ,C_1 ,C_2 ,C_3 ,C_4 ,D_1 ,D_2 ,D_3 
Zebra_A,A_1 ,0.999999,0.99257207,0.99650705,0.7894183,0.76047863,0.76047863,0.7341144,0.85997037,0.83094046,0.8744183,0.84547863,0.70129555,0.71077215,0.72103786
Zebra_A,A_2 ,0.99257207,0.979999,0.9713979,0.8188827,0.76707095,0.8176427,0.74307095,0.8476733,0.8075447,0.817427,0.85307095,0.70570057,0.71617763,0.731289
Zebra_A,A_3 ,0.99650705,0.9913979,0.9999999,0.8484685,0.85980175,0.7641553,0.740635,0.76047863,0.7170002,0.841553,0.850635,0.7046762,0.7170002,0.7326977
Zebra_B,B_1 ,0.7998283,0.76047863,0.84251835,0.989999,0.9100909,0.94496274,0.9577824,0.81707095,0.7341144,0.8147086,0.8297037,0.72094046,0.7341144,0.75481027
Zebra_B,B_2 ,0.81737136,0.86707095,0.9332042,0.9100909,0.979999,0.9775133,0.9677824,0.76047863,0.7285748,0.7341144,0.6794183,0.8818793,0.7285748,0.7315119
Zebra_B,B_3 ,0.8200792,0.864635,0.8286762,0.9496274,0.9775133,0.9999997,0.94295594,0.70129555,0.71077215,0.72103786,0.7170002,0.8840877,0.65438613,0.6794183
Zebra_B,B_4 ,0.8215447,0.74383014,0.924796,0.864635,0.9586762,0.9508642,0.989999,0.864635,0.8286762,0.62577215,0.7341144,0.88250207,0.7046762,0.7170002
Zebra_C,C_1 ,0.838596,0.7473639,0.912877,0.7170002,0.7315119,0.81783014,0.8281553,1.0000001,0.9623517,0.9363411,0.98429567,0.826976,0.72094046,0.7341144
Zebra_C,C_2 ,0.807095,0.7376733,0.8741553,0.7341144,0.6794183,0.8713639,0.847086,0.9623517,0.9999999,0.98208797,0.95765567,0.7894183,0.76047863,0.94251835
Zebra_C,C_3 ,0.864635,0.84444396,0.7170002,0.7054002,0.7170002,0.7641553,0.740635,0.9463411,0.98208797,0.99999,0.9495929,0.88827,0.807095,0.8632042
Zebra_C,C_4 ,0.8397037,0.8539825,0.7341144,0.62577215,0.7341144,0.7046762,0.7170002,0.98429567,0.95765567,0.9495929,0.99999994,0.81553,0.824635,0.8286762
Zebra_D,D_1 ,0.8616733,0.8513612,0.84494046,0.65047863,0.7054002,0.72094046,0.7341144,0.8164635,0.74383014,0.7641553,0.85980175,0.9999999,0.98208797,0.95765567
Zebra_D,D_2 ,0.82467763,0.72094046,0.8215447,0.74383014,0.7046762,0.6975447,0.7054002,0.8397037,0.7473639,0.74147086,0.740635,0.98208797,0.99999,0.9495929
Zebra_D,D_3 ,0.83984123,0.6975447,0.83968596,0.7473639,0.813131,0.61629555,0.6277215,0.8287983,0.7285748,0.7315119,0.74997037,0.95765567,0.9495929,0.99999994
